date,ae_embedding_0,ae_embedding_1,ae_embedding_2,ae_embedding_3,ae_embedding_4,ae_embedding_5,ae_embedding_6,ae_embedding_7,ae_embedding_8,ae_embedding_9,ae_embedding_10,ae_embedding_11,ae_embedding_12,ae_embedding_13,ae_embedding_14,ae_embedding_15,ae_embedding_16,ae_embedding_17,ae_embedding_18,ae_embedding_19,ae_embedding_20,ae_embedding_21,ae_embedding_22,ae_embedding_23,ae_embedding_24,ae_embedding_25,ae_embedding_26,ae_embedding_27,ae_embedding_28,ae_embedding_29,ae_embedding_30,ae_embedding_31
2024-03-31 03:00:00,0.014118853,0.11367789,0.03942806,-0.008057827,-0.040944815,-0.08398287,0.052199453,0.14205149,0.09897987,0.06689372,-0.13692681,-0.07971352,-0.008204982,-0.004009735,0.04744429,-0.05306256,-0.02167172,0.000954397,0.58223695,0.07570326,-0.07322413,0.040385865,-0.0075001903,-0.0467478,0.2164864,-0.048396267,-0.038330935,0.087293796,0.044785388,-0.035128012,0.063458875,-0.041402496
2024-03-31 04:00:00,0.010411601,0.116601124,0.042880353,-0.009875802,-0.04154633,-0.08306242,0.052245364,0.12134768,0.107748576,0.07010821,-0.15076764,-0.08468047,-0.00443691,0.0009729527,0.05473242,-0.05260976,-0.019229434,0.0046806633,0.58540595,0.06631404,-0.06726003,0.04253851,-0.019130636,-0.05566163,0.21837297,-0.03960471,-0.036226697,0.083422475,0.051040124,-0.040256217,0.055999804,-0.036438413
2024-03-31 05:00:00,0.0021653054,0.11971408,0.046704344,-0.015716525,-0.036399454,-0.07746201,0.051985808,0.10603063,0.113436736,0.07444414,-0.16196445,-0.08696366,-0.0008047819,0.0024817474,0.0648576,-0.05546635,-0.018430896,0.0040964484,0.58824694,0.056225747,-0.061778788,0.04448986,-0.023078162,-0.062050615,0.2203536,-0.03414677,-0.031600766,0.07605616,0.055175878,-0.038420595,0.048907887,-0.031431235
2024-03-31 06:00:00,0.014789264,0.113165185,0.038929656,-0.0025124415,-0.04211986,-0.058156412,0.0576648,0.1430938,0.0949846,0.08406741,-0.14201432,-0.07639903,0.004106827,0.0140608065,0.08141111,-0.04861156,-0.01999987,-0.01314152,0.60260683,0.07436474,-0.06951851,0.008479856,-0.00892939,-0.047507603,0.22071034,-0.051305227,-0.02929288,0.081069015,0.06646074,-0.022660766,0.06334922,-0.037057966
2024-03-31 07:00:00,0.01667646,0.11487032,0.044558484,-0.002244377,-0.043394387,-0.054366533,0.047582544,0.11454122,0.1093274,0.08168421,-0.16149375,-0.06900649,0.0053666234,0.020512674,0.07045149,-0.0489331,-0.016616993,-0.019721806,0.6046393,0.059971422,-0.062968954,0.0137876365,-0.01981664,-0.056478124,0.21904844,-0.038908854,-0.022338968,0.06485558,0.079383515,-0.046840988,0.04435091,-0.030722946
2024-03-31 08:00:00,0.00984032,0.1170667,0.043297015,-0.009756422,-0.036207408,-0.043197807,0.050680697,0.12609844,0.10347283,0.08649362,-0.15493913,-0.067056775,0.0026083738,0.016886558,0.07686621,-0.048474073,-0.022063963,-0.021907277,0.6081248,0.061867416,-0.06299208,0.011689734,-0.01213612,-0.04907361,0.22443423,-0.046136506,-0.020513251,0.06678917,0.0801516,-0.035382114,0.050403137,-0.033769213
2024-03-31 09:00:00,0.0038948832,0.118103884,0.046157535,-0.0105379615,-0.03575039,-0.03681456,0.049063552,0.109501645,0.11560049,0.08696582,-0.16442478,-0.06375727,0.0010305047,0.017710928,0.08057029,-0.047936868,-0.019107498,-0.020705312,0.6118087,0.053933457,-0.0585855,0.015547009,-0.013805512,-0.05472747,0.2241121,-0.036838517,-0.019712696,0.06393433,0.086807854,-0.04293312,0.047418486,-0.03200619
2024-03-31 10:00:00,0.0024234308,0.11577048,0.04409696,-0.0103855375,-0.03641802,-0.024025831,0.050486434,0.1221911,0.11680911,0.08746778,-0.15329526,-0.056331363,-0.01054275,0.014834154,0.07561135,-0.044751994,-0.02367077,-0.018387355,0.6144349,0.059078112,-0.061196346,0.017964998,-0.003974799,-0.04522946,0.22796148,-0.040518448,-0.021922695,0.06958092,0.08851664,-0.04257419,0.057439554,-0.0414721
2024-03-31 11:00:00,0.004871371,0.11685637,0.0460566,-0.013832999,-0.037528485,-0.019087255,0.049396634,0.11522552,0.12289546,0.088340096,-0.15852278,-0.04980877,-0.017224833,0.016355712,0.06495764,-0.04084836,-0.024674006,-0.021854527,0.6144547,0.049448088,-0.05715305,0.026825761,-0.0034154393,-0.044757117,0.2294336,-0.04173111,-0.02370784,0.06907361,0.09359106,-0.052015454,0.050774742,-0.03753806
2024-03-31 12:00:00,0.0020310013,0.11869596,0.045595273,-0.01786566,-0.035313517,-0.011109601,0.049722902,0.11682157,0.12236781,0.0874253,-0.15997693,-0.046236657,-0.021437041,0.013138492,0.06693639,-0.04131476,-0.026616193,-0.025413655,0.61688864,0.04400512,-0.05400436,0.029659333,0.0009679161,-0.043358337,0.23342162,-0.04409521,-0.022491693,0.06938363,0.09728203,-0.050909594,0.049752604,-0.03723886
2024-03-31 13:00:00,-0.0045488747,0.120626844,0.044027723,-0.020775633,-0.033714354,-0.0053307367,0.052134544,0.11186675,0.12796205,0.088727124,-0.16183054,-0.047925163,-0.024602562,0.012933198,0.07341077,-0.03953981,-0.024695314,-0.021566585,0.61983174,0.040533185,-0.05318891,0.031629246,0.0020929538,-0.04623234,0.23405668,-0.041267484,-0.025470342,0.07269285,0.10024161,-0.04901389,0.052949984,-0.03861446
