date,cpc_embedding_0,cpc_embedding_1,cpc_embedding_2,cpc_embedding_3,cpc_embedding_4,cpc_embedding_5,cpc_embedding_6,cpc_embedding_7,cpc_embedding_8,cpc_embedding_9,cpc_embedding_10,cpc_embedding_11,cpc_embedding_12,cpc_embedding_13,cpc_embedding_14,cpc_embedding_15,cpc_embedding_16,cpc_embedding_17,cpc_embedding_18,cpc_embedding_19,cpc_embedding_20,cpc_embedding_21,cpc_embedding_22,cpc_embedding_23,cpc_embedding_24,cpc_embedding_25,cpc_embedding_26,cpc_embedding_27,cpc_embedding_28,cpc_embedding_29,cpc_embedding_30,cpc_embedding_31,cpc_embedding_32,cpc_embedding_33,cpc_embedding_34,cpc_embedding_35,cpc_embedding_36,cpc_embedding_37,cpc_embedding_38,cpc_embedding_39,cpc_embedding_40,cpc_embedding_41,cpc_embedding_42,cpc_embedding_43,cpc_embedding_44,cpc_embedding_45,cpc_embedding_46,cpc_embedding_47,cpc_embedding_48,cpc_embedding_49,cpc_embedding_50,cpc_embedding_51,cpc_embedding_52,cpc_embedding_53,cpc_embedding_54,cpc_embedding_55,cpc_embedding_56,cpc_embedding_57,cpc_embedding_58,cpc_embedding_59,cpc_embedding_60,cpc_embedding_61,cpc_embedding_62,cpc_embedding_63
2025-01-17,-0.038957257,0.005797155,-0.12347257,0.21374011,-0.010883769,0.027371287,0.10661828,0.07562435,-0.082789935,-0.0737101,-0.22160748,-0.09390496,0.14275746,0.04996144,-0.018270072,-0.025310306,-0.024978217,0.04992382,-0.06459075,-0.14287992,0.05862134,0.03818832,0.0716811,-0.1739488,-0.13841903,-0.08773029,-0.15649657,-0.20228624,0.13932091,-0.17493716,-0.18303104,-0.07340634,-0.11768963,-0.072003156,0.11656189,-0.0028512767,0.08745273,-0.1438939,0.09996556,-0.041731797,0.06571393,-0.04366591,-0.07227202,-0.18789946,0.08147501,0.028441247,0.10136878,0.076343715,0.13264214,-0.008921972,0.06669822,0.0706864,-0.08514463,-0.054393902,-0.20127729,-0.10251335,-0.104984805,-0.15883407,-0.16520989,-0.276092,0.08971942,0.12982385,0.055283725,-0.036736112
2025-01-18,-0.018312493,0.011527218,-0.13511315,0.22553396,-0.018713195,0.052871145,0.12676093,0.08562485,-0.076866254,-0.09123949,-0.21873039,-0.09564777,0.14557657,0.06604877,-0.011394429,-0.050342575,-0.054741047,0.09077643,-0.041904613,-0.12946896,0.05679957,0.01535326,0.10325347,-0.19593504,-0.15393494,-0.08903404,-0.1466944,-0.2034507,0.13305855,-0.15746519,-0.19623762,-0.07857467,-0.120877974,-0.061252028,0.10436331,-0.019437296,0.0888306,-0.14586614,0.10710448,-0.026003154,0.050074577,-0.07871524,-0.08326362,-0.18847851,0.0967524,0.00575231,0.10737341,0.09044865,0.1267606,-0.014160665,0.06891092,0.065617494,-0.10593897,-0.03536952,-0.2107268,-0.09011367,-0.09979172,-0.14509757,-0.16336109,-0.30322084,0.102095,0.14064528,0.07388754,-0.017112864
2025-01-19,0.00041040778,0.019874942,-0.1534906,0.24310468,-0.021787018,0.07713603,0.15023398,0.094817035,-0.06911437,-0.107558236,-0.2174571,-0.09815876,0.14937261,0.07869716,-0.004886973,-0.07615828,-0.08022175,0.12302093,-0.021150257,-0.11870338,0.05456944,0.002886944,0.13109967,-0.20831132,-0.15953952,-0.09112861,-0.14006372,-0.20798877,0.13194373,-0.14332253,-0.20708461,-0.08522424,-0.12692124,-0.053025123,0.092555664,-0.03451847,0.08485857,-0.13997135,0.11430784,-0.009820251,0.032510728,-0.10572515,-0.09762562,-0.1851191,0.10331751,-0.016146481,0.11060431,0.100729614,0.120811835,-0.018289194,0.076245494,0.0675348,-0.12886392,-0.02076055,-0.2233968,-0.07723792,-0.09448053,-0.13705604,-0.16288736,-0.3253536,0.10933405,0.15277168,0.09535614,-0.010602772
2025-01-20,0.059995215,0.06256988,-0.20809186,0.27179402,-0.04878859,0.119454935,0.16959046,0.12098045,0.020368285,-0.13666862,-0.2234247,-0.068033576,0.13525812,0.113202795,-0.051407732,-0.12861818,-0.13624814,0.18679264,0.033273242,-0.1074678,0.051214106,-0.03252048,0.16428268,-0.2116287,-0.10722786,-0.15810248,-0.14811414,-0.22640944,0.16285223,-0.11559303,-0.21644858,-0.07426299,-0.17644626,-0.023018943,0.02507902,-0.056952234,0.07521192,-0.12644042,0.1734469,0.024853129,0.005610045,-0.16826676,-0.14787841,-0.16376776,0.07342017,-0.07402353,0.09716504,0.11194441,0.12823418,-0.06607604,0.13230541,0.14068915,-0.15140378,-0.013836198,-0.28270435,-0.050303478,-0.06848141,-0.1509597,-0.20866191,-0.36495194,0.11666769,0.1639927,0.1623333,-0.07947795
2025-01-21,0.13051108,0.09644978,-0.2690637,0.30000445,-0.096215636,0.17464769,0.18845922,0.14808933,0.11436357,-0.16697255,-0.2140365,-0.046422284,0.10735198,0.14014962,-0.09715872,-0.18271205,-0.20177728,0.24745384,0.08583206,-0.10709701,0.038488556,-0.10184536,0.19986455,-0.22196437,-0.04898626,-0.22780752,-0.16906251,-0.24592842,0.21628883,-0.09276873,-0.22684863,-0.061535977,-0.22895597,0.012003627,-0.044311985,-0.086063236,0.10001113,-0.10667962,0.24496593,0.067050725,-0.031307813,-0.23541462,-0.19119437,-0.13524255,0.030406246,-0.14909524,0.069527216,0.1219894,0.13632722,-0.124584794,0.19174454,0.2073928,-0.16680087,-0.0027965093,-0.34789297,-0.00906444,-0.03402468,-0.16127473,-0.2453713,-0.40799725,0.10713643,0.17376792,0.24207288,-0.14883147
2025-01-22,0.112557754,0.052394114,-0.24855998,0.30440158,-0.065322965,0.20647801,0.2498865,0.13097577,-0.008449167,-0.16866346,-0.2054471,-0.0857387,0.113282375,0.13129614,0.014995582,-0.19534527,-0.2105546,0.23351721,0.08661259,-0.09513908,0.029024946,-0.10804733,0.23902631,-0.26072642,-0.14055067,-0.123407595,-0.14945196,-0.23684165,0.1631259,-0.09069174,-0.25698632,-0.10887401,-0.16490883,0.0011614691,0.042324703,-0.090154745,0.11210016,-0.10418698,0.19376303,0.0775391,-0.059781708,-0.22898845,-0.16912879,-0.15142731,0.104637414,-0.117677875,0.1012267,0.13217346,0.107440844,-0.06515805,0.13608706,0.075439475,-0.1900938,0.03951911,-0.31601083,0.0063960496,-0.05000886,-0.100809276,-0.14861226,-0.41234565,0.11709257,0.19632073,0.222737,-0.011159711
2025-01-23,0.16643733,0.10802901,-0.3095155,0.34227487,-0.094158426,0.23492353,0.25178227,0.15753385,0.109487034,-0.19459283,-0.21169412,-0.062605135,0.10386343,0.15734226,-0.06243591,-0.23922424,-0.25249398,0.2856682,0.12280975,-0.093253225,0.022590403,-0.13388789,0.25635308,-0.23464002,-0.0639206,-0.21235344,-0.16785234,-0.25919735,0.21842404,-0.06942909,-0.25514543,-0.09264732,-0.23286402,0.030167688,-0.04617031,-0.11498207,0.095685154,-0.07784034,0.25934568,0.10660983,-0.08676088,-0.27313757,-0.2217257,-0.119548425,0.040269747,-0.17781314,0.073344946,0.13055846,0.1185413,-0.123529,0.20581324,0.19160333,-0.20956337,0.02854811,-0.37878954,0.030787233,-0.022995133,-0.14137152,-0.21901715,-0.43876377,0.11010755,0.20516181,0.28375912,-0.12230523
2025-01-24,0.15989453,0.09232335,-0.3042703,0.34929338,-0.072466716,0.25909132,0.3000288,0.15171672,0.036332853,-0.20394693,-0.21492329,-0.07775897,0.10788503,0.16276273,0.0025161654,-0.25660637,-0.26469326,0.2875987,0.13862076,-0.07723898,0.019601746,-0.13267551,0.2899481,-0.2613996,-0.12517822,-0.15186864,-0.15121494,-0.2599499,0.17474417,-0.05841673,-0.2777368,-0.13113227,-0.19221067,0.028916048,-0.00044062734,-0.118795075,0.0965739,-0.07484057,0.23091647,0.114132166,-0.107918926,-0.2753309,-0.21977982,-0.12880035,0.09538872,-0.1587438,0.097290345,0.13869706,0.0991029,-0.08859031,0.17788081,0.10415274,-0.23202579,0.06037487,-0.3683047,0.04204344,-0.031084506,-0.097684175,-0.17024624,-0.4482261,0.1280459,0.22637694,0.2731755,-0.037272163
2025-01-25,0.057993274,-0.0066359416,-0.22785495,0.3181384,0.006980788,0.18322238,0.30705738,0.09228155,-0.14536767,-0.14356235,-0.18519077,-0.16347113,0.13391377,0.06818618,0.15380423,-0.17057428,-0.1548444,0.15642443,0.0373865,-0.11276304,0.004273517,-0.07592639,0.24500698,-0.24262367,-0.2078821,0.011675365,-0.14170292,-0.23118164,0.14054699,-0.1372931,-0.2642182,-0.17155048,-0.10392334,-0.046807043,0.17511103,-0.08039994,0.11829164,-0.067830384,0.10757398,0.090908095,-0.07397016,-0.15487212,-0.122932196,-0.15245683,0.14182585,-0.07690955,0.12692921,0.120385855,0.06596458,0.0137044005,0.080515586,-0.028706968,-0.2108435,0.06395964,-0.25653476,0.020004278,-0.07488467,-0.084808834,-0.04123781,-0.37603116,0.070733786,0.22159411,0.20534238,0.08751354
2025-01-26,0.07240518,0.060603365,-0.2596329,0.34501815,-0.003924831,0.191446,0.281731,0.114675425,-0.05443176,-0.16308083,-0.22434625,-0.12176825,0.14879711,0.1054188,0.042600468,-0.19500726,-0.16782808,0.19577973,0.06443846,-0.09436136,0.025246931,-0.024871306,0.23220502,-0.20061299,-0.15390359,-0.079268165,-0.14210701,-0.24710256,0.14839828,-0.10674313,-0.2548258,-0.14898431,-0.15245214,-0.027368441,0.07988986,-0.08608029,0.057387903,-0.065796316,0.14586923,0.07983842,-0.07291234,-0.1733388,-0.17463379,-0.14105877,0.0987961,-0.084672466,0.113334805,0.108609736,0.08362128,-0.02522588,0.12860051,0.0699407,-0.22057973,0.03186085,-0.2968333,0.0014521992,-0.071267396,-0.12446454,-0.14034292,-0.3759237,0.102613546,0.21985486,0.21412833,-0.014353141
2025-01-27,0.13918988,0.114848256,-0.31329423,0.3552951,-0.060432024,0.2247231,0.26391214,0.14673975,0.08071182,-0.18928757,-0.22666164,-0.07077709,0.122450486,0.14157574,-0.05475191,-0.2345247,-0.22059783,0.25811803,0.11565365,-0.09170015,0.030760027,-0.07848598,0.24436714,-0.1951113,-0.06823504,-0.19273879,-0.16127713,-0.27191034,0.20117751,-0.07991302,-0.24810645,-0.11545503,-0.22287849,0.00754359,-0.025946155,-0.10475579,0.06624933,-0.05747578,0.22910985,0.09907994,-0.08254744,-0.23568499,-0.22114827,-0.11352524,0.046062976,-0.15693256,0.07965654,0.111501366,0.104733095,-0.10520047,0.20510525,0.18167728,-0.22144602,0.021772273,-0.36657917,0.021541314,-0.036045954,-0.1546095,-0.22510341,-0.41352308,0.10829081,0.21899983,0.26850986,-0.13206926
2025-01-28,0.074710205,0.0174626,-0.2405664,0.31419918,-0.014900648,0.19822556,0.2894045,0.10233536,-0.098894894,-0.14896306,-0.19697256,-0.13232328,0.12732293,0.08332682,0.099940225,-0.18325531,-0.16807915,0.17008075,0.059370548,-0.109310314,0.019294146,-0.07324988,0.23625097,-0.22919129,-0.17235371,-0.03809814,-0.14659114,-0.2433948,0.14773862,-0.12639318,-0.25625739,-0.1587117,-0.12704319,-0.04151102,0.12875843,-0.07847604,0.10969216,-0.06940403,0.1357587,0.083390735,-0.06605104,-0.17081109,-0.13893057,-0.1424095,0.1256141,-0.089831196,0.11417083,0.11320051,0.07405528,-0.017238181,0.107044816,0.007965758,-0.20126714,0.052925594,-0.28016612,0.01394042,-0.068998575,-0.09870584,-0.08745894,-0.3807781,0.08450833,0.21915913,0.20969926,0.038337037
2025-01-29,0.0739578,0.056264248,-0.25443992,0.33450747,-0.010812373,0.1995425,0.27974933,0.11452274,-0.061463274,-0.16375777,-0.22231458,-0.11789752,0.14508732,0.107268445,0.042056933,-0.19576041,-0.1717321,0.19809645,0.072022565,-0.09231365,0.03054186,-0.036318302,0.23313682,-0.20765388,-0.16140223,-0.07718569,-0.13891478,-0.24897362,0.14054455,-0.1041583,-0.25391725,-0.15146796,-0.14760707,-0.029887974,0.08020145,-0.08584289,0.06751214,-0.07099195,0.14562486,0.07525083,-0.067987636,-0.17793384,-0.16922385,-0.1415987,0.11205305,-0.086898215,0.113834925,0.10800358,0.08089712,-0.02700936,0.1241625,0.053181805,-0.2146366,0.0378082,-0.29403627,0.0012110984,-0.07194082,-0.116334386,-0.14133573,-0.37889287,0.10906922,0.22161491,0.20690268,-0.0014042929
2025-01-30,0.09764494,0.08515397,-0.27764738,0.34336174,-0.025091734,0.2147962,0.2822951,0.129609,-0.014654605,-0.18164493,-0.23050173,-0.09439704,0.14352572,0.13115078,0.0058694556,-0.21817374,-0.1957079,0.23460887,0.10066828,-0.07964164,0.037478257,-0.043570742,0.24740587,-0.20791605,-0.14311364,-0.11835623,-0.13591386,-0.26118743,0.14327808,-0.08386436,-0.25364834,-0.14677206,-0.170778,-0.014792995,0.034465756,-0.0953233,0.057295486,-0.06961488,0.17220962,0.08037977,-0.07143999,-0.20660065,-0.19476141,-0.13466625,0.1064281,-0.11213807,0.10963209,0.11308503,0.08543069,-0.053663895,0.15307413,0.09054115,-0.22656426,0.039549418,-0.32076335,0.0057104374,-0.0609605,-0.12170176,-0.18062337,-0.39988428,0.12467795,0.22758044,0.22112395,-0.037829995
2025-01-31,0.098630965,0.07885327,-0.27696335,0.3443076,-0.024216091,0.22388414,0.29636776,0.13026103,-0.034780204,-0.1892513,-0.22625098,-0.09990338,0.14667845,0.13452667,0.025692299,-0.22288105,-0.2019841,0.24284297,0.10880509,-0.07307341,0.039160833,-0.05061559,0.26250163,-0.22173026,-0.16369393,-0.10093321,-0.12656756,-0.2634348,0.13033131,-0.07816373,-0.25934115,-0.1577279,-0.15906039,-0.01584694,0.04484004,-0.10093442,0.064297624,-0.06961841,0.16368228,0.08170892,-0.07524904,-0.21275648,-0.19102326,-0.13734768,0.1263492,-0.116576575,0.11573916,0.11868309,0.07832542,-0.047074717,0.14540894,0.063551724,-0.23761046,0.053518206,-0.31697336,0.010788699,-0.061647195,-0.1061356,-0.1661643,-0.41021052,0.13063794,0.23678291,0.21635553,-0.009467537
2025-02-01,0.045670755,0.023319434,-0.23793462,0.32394725,0.010921663,0.18259868,0.29372492,0.099833764,-0.13162908,-0.1555792,-0.20529623,-0.14493906,0.15904084,0.084294535,0.10423632,-0.17645766,-0.14663047,0.17362429,0.053030863,-0.09557652,0.031379644,-0.025589803,0.23606703,-0.21651965,-0.20675674,-0.018084753,-0.12232751,-0.24639474,0.115633704,-0.12057744,-0.25067416,-0.1769916,-0.1136506,-0.05614936,0.13237676,-0.08198763,0.08261457,-0.06745221,0.10263504,0.06631797,-0.053548627,-0.15146045,-0.13593194,-0.14868183,0.14965539,-0.0779157,0.12915288,0.1117412,0.06082816,0.0042913593,0.093271285,-0.007515341,-0.224254,0.05563257,-0.25768626,-0.0014152918,-0.08466735,-0.097458325,-0.09905137,-0.37604314,0.09803931,0.23121862,0.17851353,0.0566838
2025-02-02,0.04029463,0.045187004,-0.24225771,0.3323003,0.011195434,0.17584594,0.2765092,0.10473674,-0.105833605,-0.15874942,-0.22054036,-0.13360067,0.16978645,0.094830506,0.060772404,-0.17484319,-0.14051339,0.17856658,0.052469503,-0.09078771,0.041821886,0.006566711,0.22325839,-0.19717436,-0.19060957,-0.047233038,-0.120605506,-0.2492785,0.11600819,-0.11193686,-0.24380326,-0.16688536,-0.12669906,-0.05348426,0.10183455,-0.08194992,0.057979964,-0.06912169,0.107728764,0.054513603,-0.048506945,-0.14578092,-0.14896075,-0.1477487,0.13399754,-0.070808604,0.1248245,0.10487447,0.06835494,-0.0032217903,0.10332806,0.025092404,-0.22645763,0.03844939,-0.263185,-0.014682686,-0.08795102,-0.11331981,-0.13403073,-0.3674297,0.10975793,0.22740719,0.17040813,0.022500532
2025-02-03,0.03662202,0.046029054,-0.23869276,0.3265663,0.009291061,0.17192051,0.26882035,0.10452691,-0.10498546,-0.15769745,-0.22122152,-0.12890974,0.17130032,0.09622867,0.053165916,-0.16912463,-0.13626724,0.17670912,0.05085816,-0.08972167,0.04807388,0.012397414,0.21823859,-0.1960252,-0.19036734,-0.052192677,-0.11784996,-0.25031716,0.11183475,-0.11084381,-0.23900218,-0.16426896,-0.12496942,-0.055655163,0.096122116,-0.07933704,0.057392254,-0.073129185,0.10563157,0.04634649,-0.04024277,-0.14265922,-0.14594537,-0.14942658,0.13714261,-0.06884162,0.12434447,0.103679575,0.06972588,-0.005254286,0.102909304,0.02637542,-0.22404471,0.035324346,-0.25974095,-0.020431396,-0.089069664,-0.112907864,-0.14187606,-0.36640117,0.11421081,0.2253484,0.15986404,0.01958519
2025-02-04,0.099359974,0.0997379,-0.2863263,0.33965358,-0.03164062,0.19823448,0.25738817,0.13351436,0.021729536,-0.18104489,-0.23255302,-0.07752069,0.14968808,0.135408,-0.031056799,-0.20979318,-0.18726674,0.23825762,0.09941758,-0.08338243,0.05022392,-0.02687037,0.23313223,-0.19115321,-0.11387676,-0.15314707,-0.13321699,-0.2691227,0.1544188,-0.08370374,-0.23770559,-0.13293606,-0.19174702,-0.020602515,0.0062593,-0.09458866,0.049785938,-0.06743173,0.18146595,0.06880005,-0.052281573,-0.20243986,-0.19599843,-0.1280371,0.09147731,-0.12543496,0.1026024,0.11033807,0.09124457,-0.07311328,0.17265968,0.13301936,-0.22880363,0.027060462,-0.3258657,-0.0048389994,-0.058486965,-0.1434208,-0.21298777,-0.40099245,0.12292305,0.2240517,0.2154705,-0.08376933
