date,open,high,low,close,tradecount,date_ordinal,processed_log_return,normalized_outliers_processed_log_return,processed_log_return_wtmra_0,processed_log_return_wtmra_1,processed_log_return_wtmra_2,processed_log_return_wtmra_3,processed_log_return_wtmra_4,processed_log_return_wtmra_5,processed_log_return_wtmra_5_4,processed_log_return_wtmra_5_4_3,processed_log_return_wtmra_5_4_3_2,processed_log_return_wtmra_5_4_3_2_1,processed_log_return_wtmra_5_4_3_2_1_0,processed_log_return_wtmra_0_1,processed_log_return_wtmra_0_1_2,processed_log_return_wtmra_0_1_2_3,processed_log_return_wtmra_0_1_2_3_4,processed_log_return_wtmra_0_1_2_3_4_5
2024-07-27,67908.0,69399.99,66650.0,67896.5,1690591,1722038400.0,-0.00016921384598440523,-0.024912917614202827,-0.1721078127209402,0.08930236633311249,0.15006711791009733,-0.012641738834785853,-0.04026737463530452,-0.039265475666382076,-0.0795328503016866,-0.09217458913647245,0.057892528773624885,0.1471948951067374,-0.024912917614202806,-0.0828054463878277,0.06726167152226963,0.054619932687483774,0.014352558052179255,-0.02491291761420282
2024-07-28,67896.49,68318.43,67066.66,68249.88,821210,1722124800.0,0.005191188977428364,0.059257182834412614,0.12881233528636607,-0.061330581498629376,0.13259555400849693,-0.039150400791511566,-0.05908143912249849,-0.04258828504781095,-0.10166972417030945,-0.140820124961821,-0.008224570953324073,-0.06955515245195346,0.059257182834412614,0.06748175378773669,0.20007730779623362,0.16092690700472206,0.10184546788222357,0.059257182834412614
2024-07-29,68249.88,70079.99,66428.0,66784.69,1952812,1722211200.0,-0.02170181316434392,-0.3630220312856676,-0.13271875820837548,-0.13256422999247855,0.09457696866318172,-0.07030094277323276,-0.0760906523442008,-0.045924416630561675,-0.12201506897476247,-0.19231601174799523,-0.09773904308481351,-0.23030327307729206,-0.36302203128566757,-0.26528298820085405,-0.17070601953767234,-0.2410069623109051,-0.3170976146551059,-0.36302203128566757
2024-07-30,66784.68,67000.0,65302.67,66188.0,1622083,1722297600.0,-0.008974685027823451,-0.163178159665716,0.1007914345654787,-0.05689607961858335,0.028002107908737854,-0.09506889978562835,-0.09086002811161206,-0.04914669462410874,-0.1400067227357208,-0.23507562252134914,-0.20707351461261128,-0.26396959423119465,-0.16317815966571594,0.04389535494689535,0.0718974628556332,-0.023171436929995154,-0.11403146504160722,-0.16317815966571597
2024-07-31,66188.0,66849.24,64530.0,64628.0,1609976,1722384000.0,-0.02385142421501373,-0.39677564720237934,-0.2008407482205089,0.10188323838617526,-0.02957821730342237,-0.11346796099077479,-0.10251585707034243,-0.05225610200350598,-0.15477195907384841,-0.2682399200646232,-0.2978181373680456,-0.19593489898187033,-0.39677564720237923,-0.09895750983433364,-0.12853572713775602,-0.2420036881285308,-0.34451954519887323,-0.39677564720237923
2024-08-01,64628.01,65659.78,62302.0,65354.02,2397257,1722470400.0,0.011171199683345215,0.1531564882378003,0.4299875071998848,0.11994141692521135,-0.10477390193178678,-0.1265110472217155,-0.11030729585977497,-0.05518019087401856,-0.16548748673379354,-0.291998533955509,-0.39677243588729577,-0.2768310189620844,0.15315648823780043,0.5499289241250962,0.44515502219330944,0.3186439749715939,0.20833667911181894,0.15315648823780037
2024-08-02,65354.02,65596.14,61230.01,61498.33,2457735,1722556800.0,-0.06080893312569105,-0.9770897280314451,-0.5038596837741938,0.029260305843451236,-0.19616512558432975,-0.13344018837336846,-0.1150215817261294,-0.05786345441687488,-0.17288503614300427,-0.30632522451637273,-0.5024903501007025,-0.4732300442572513,-0.977089728031445,-0.4745993779307425,-0.6707645035150722,-0.8042046918884407,-0.9192262736145701,-0.977089728031445
2024-08-03,61498.34,62198.22,59850.0,60697.99,1669555,1722643200.0,-0.013099436128860992,-0.227945813503871,0.3604195599881069,-0.061982271448443385,-0.2243765795902494,-0.12587778901408506,-0.11586397379400405,-0.06026475964519597,-0.17612873343920002,-0.3020065224532851,-0.5263831020435344,-0.5883653734919778,-0.22794581350387094,0.2984372885396635,0.0740607089494141,-0.05181708006467095,-0.167681053858675,-0.22794581350387094
2024-08-04,60697.99,61117.63,57122.77,58161.0,1886195,1722729600.0,-0.04269555681819708,-0.6926699272272437,-0.004723470149792602,-0.2061873979725226,-0.20001782213217975,-0.10685088259577578,-0.11249527142437903,-0.06239508295259381,-0.17489035437697284,-0.2817412369727486,-0.48175905910492833,-0.687946457077451,-0.6926699272272435,-0.21091086812231521,-0.41092869025449497,-0.5177795728502708,-0.6302748442746497,-0.6926699272272435
2024-08-05,58161.0,58305.59,49000.0,54018.81,7568497,1722816000.0,-0.07388270778154322,-1.0,-0.45901686103081546,-0.2121126047958319,-0.08506893041449232,-0.0753809810595078,-0.10412625088455901,-0.0642943718147934,-0.16842062269935243,-0.24380160375886023,-0.32887053417335255,-0.5409831389691845,-1.0,-0.6711294658266473,-0.7561983962411396,-0.8315793773006475,-0.9357056281852065,-0.9999999999999999
2024-08-06,54018.82,57040.99,53950.0,56022.01,3433824,1722902400.0,0.03641232998749407,0.5494976855555384,0.6181973187854133,0.03906456898379732,0.0844886340613225,-0.03507287175641948,-0.09112589392896331,-0.06605407058961199,-0.1571799645185753,-0.1922528362749948,-0.10776420221367229,-0.06869963322987496,0.5494976855555384,0.6572618877692106,0.741750521830533,0.7066776500741135,0.6155517561451502,0.5494976855555382
2024-08-07,56022.0,57736.05,54558.62,55134.16,2397504,1722988800.0,-0.015975161468007117,-0.2731010189301031,-0.5939988812497071,0.26575898243815627,0.2012194948392788,-0.0024030822446953703,-0.07591861290289456,-0.067758919810241,-0.14367753271313555,-0.14608061495783092,0.05513887988144789,0.32089786231960415,-0.27310101893010297,-0.32823989881155086,-0.12702040397227204,-0.12942348621696742,-0.20534209911986198,-0.27310101893010297
