date,open,high,low,close,tradecount,date_ordinal,processed_log_return,TI_SMA_5_Feature,TI_SMA_14_Feature,TI_SMA_21_Feature,TI_EMA_5_Feature,TI_EMA_14_Feature,TI_EMA_21_Feature,MI_RSI_5_Feature,MI_RSI_14_Feature,MI_RSI_21_Feature,MI_MACD_12_26_Feature,MI_Signal_Line_12_26_Feature,MI_MACD_8_17_Feature,MI_Signal_Line_8_17_Feature,MI_MACD_13_30_Feature,MI_Signal_Line_13_30_Feature,VolI_BB_Middle_Band_20_1_Feature,VolI_BB_Upper_Band_20_1_Feature,VolI_BB_Lower_Band_20_1_Feature,VolI_BB_Middle_Band_20_2_Feature,VolI_BB_Upper_Band_20_2_Feature,VolI_BB_Lower_Band_20_2_Feature,VolI_BB_Middle_Band_20_3_Feature,VolI_BB_Upper_Band_20_3_Feature,VolI_BB_Lower_Band_20_3_Feature,MI_Stochastic_Osclilator_percK_5_Feature,MI_Stochastic_Osclilator_percD_5_Feature,MI_Stochastic_Osclilator_percK_14_Feature,MI_Stochastic_Osclilator_percD_14_Feature,MI_Stochastic_Osclilator_percK_21_Feature,MI_Stochastic_Osclilator_percD_21_Feature,VolI_ATR_5_Feature,VolI_ATR_14_Feature,VolI_ATR_21_Feature,close_log_returns,open_log_returns,high_log_returns,low_log_returns,close_perc_change,high_low_range,close_open_range
2022-02-15,42535.94,44751.4,42427.03,44544.86,867622.0,1644796800.0,0.0114029437609088,42535.328,41655.186428571425,40301.54428571429,42504.47846976196,41795.46981697209,41433.15099733461,17.216046606266985,66.03633342634237,69.12426496962235,584.2154156744364,210.2148568475315,769.1791766648385,721.1608295804484,443.7985056641992,-94.6960194502146,40468.7055,43197.86730265448,37739.543697345514,40468.7055,45927.02910530896,35010.38189469103,40468.7055,48656.19090796345,32281.220092036547,23.074437294517757,14.901418144796034,65.67694075854145,62.88952739177379,68.14947464560274,70.34366890595452,1710.9090641767366,1985.0576333221356,2028.0686522533592,0.011402943760908854,-0.0038974070450399044,0.0019251802624706469,-0.007658581082753229,0.01146820514552127,1291.8400000000038,482.2900000000009
2022-02-16,44544.85,44549.97,43307.0,43873.56,990694.0,1644883200.0,0.0461474056472828,42745.212,42073.06285714286,40662.80809523809,43184.605646507975,42162.055174709145,41716.033633940555,63.34128320001627,70.21772622245939,72.2185190738823,746.1142331280644,317.3947321036381,926.5715452043005,762.2429727052188,623.8827523549626,35.95466633254489,40855.4815,43586.88103444014,38124.08196555986,40855.4815,46318.28056888029,35392.68243111971,40855.4815,49049.68010332044,32661.282896679568,93.54731882880742,41.816556707962256,86.6665970118065,70.99383554487515,87.62709678795501,75.5270178378948,1833.6012513413898,2009.2942309419832,2042.1782402412948,0.046147405647282806,0.011403181552368332,0.04359446272838756,0.02087466017280829,0.04722876701443535,2324.3700000000026,2008.9199999999983
2022-02-17,43873.56,44164.71,40073.21,40515.7,823745.0,1644969600.0,-0.0151849105438506,43045.178,42571.43428571429,40999.199523809526,43414.25709767199,42390.255818081256,41912.17239449141,71.53337908498601,76.14899364676745,70.07464671540814,810.9043125218959,416.0966481872897,937.9188235722249,797.3781428786201,709.941708205115,158.49776485483036,41191.154500000004,43856.22832203568,38526.08067796433,41191.154500000004,46521.30214407135,35861.00685592866,41191.154500000004,49186.37596610702,33195.93303389299,72.57469914147528,63.06548508826682,79.65270086720298,77.33207954585032,81.11846142957282,78.96501095437687,1715.475001073112,1954.5567858746986,2004.1207049917093,-0.015184910543850608,0.04614718115446528,-0.004511248631784523,0.0205286256388639,-0.015070201141052064,1242.9700000000012,-671.2900000000009
2022-02-18,40515.71,40959.88,39450.0,39974.44,1067658.0,1645056000.0,-0.079622307419647,42704.744,42800.29785714286,41158.990000000005,42448.071398447995,42140.31504233709,41785.220358628554,37.26791700887263,59.83824464116286,58.14387743313993,584.5612201663826,449.7895625831083,549.5098105038196,747.8044764036601,509.3461086729294,222.28837282175746,41331.1115,43874.84915266634,38787.373847333656,41331.1115,46418.58680533268,36243.63619466732,41331.1115,48962.32445799902,33699.89854200098,9.458572653098694,58.52686354112712,39.673219039215255,68.66417230607492,45.11374416898834,71.28643412883874,2190.6800008584896,2107.195586883649,2103.5197190397234,-0.07962230741964704,-0.015184686051033066,-0.008685426625901094,-0.07760625351270087,-0.07653493356819008,4091.5,-3357.8600000000006
2022-02-19,39974.45,40444.32,39639.03,40079.17,1025882.0,1645142400.0,-0.0134493034485351,42288.9,42686.025714285715,41266.50809523809,41623.52759896533,41851.531703358814,41620.60396238959,35.27802402281628,43.6325818091506,55.48381048420396,357.3877863246962,431.3092073314259,207.27197898729355,639.6979769203868,301.4025762492165,236.67277344493183,41421.4915,43877.48305891161,38965.49994108838,41421.4915,46333.47461782322,36509.50838217677,41421.4915,48789.46617673483,34053.51682326516,9.892481231372887,30.641917675315614,8.231674776330284,42.51919822758284,38.91380211054229,55.04866923636782,2054.5200006867913,2064.530187820531,2075.2511609902126,-0.013449303448535153,-0.07962206060177719,-0.07533300285055639,-0.01567398395538695,-0.013359265667383102,1509.8799999999974,-541.2699999999968
2022-02-20,40079.17,40125.44,38000.0,38386.89,586653.0,1645228800.0,0.0026164981129269,41797.545999999995,42592.92428571429,41357.57142857143,41108.74173264355,41615.21680957764,41480.47360217235,31.622200246257094,44.77609786830872,54.723848303685116,183.68463688948395,381.78429324303755,-22.818052159615036,507.1947711043865,140.0911947090135,219.11248640203758,41531.362,43866.86255035343,39195.861449646574,41531.362,46202.36310070685,36860.360899293155,41531.362,48537.863651060274,34524.86034893973,11.8679971328328,10.406350339101456,9.875529744153166,19.260141186566234,40.00804513634937,41.34519713862667,1804.6740005494332,1974.5844601190645,2014.7768199906786,0.0026164981129269994,-0.013449300106584273,-0.012666837666750088,0.004780191638414253,0.0026199241315199018,805.2900000000009,104.72000000000116
2022-02-21,38386.89,39494.35,36800.0,37008.16,811235.0,1645315200.0,-0.0431407529280498,40565.952000000005,42307.64,41381.625238095236,40201.45782176237,41184.773234967295,41199.23872924759,1.6447766210228707,34.83629648415962,51.166666589678776,-89.4975415784429,287.52792627874146,-369.3603440103252,331.8837480814442,-123.12135265234974,156.8881520285126,41527.3615,43868.449307461546,39186.27369253845,41527.3615,46209.537114923085,36845.18588507691,41527.3615,48550.624922384624,34504.098077615374,5.906744611044011,9.222407658416563,4.946809870860496,7.6846714637813145,22.32671612161738,33.74952112283635,1868.827200439547,1985.3598558248457,2020.046495229218,-0.04314075292804987,0.002616247953106316,-0.007915666250566626,-0.04222807920391161,-0.042223429277602254,2125.4400000000023,-1692.2799999999988
2022-02-22,37008.16,38429.0,36350.0,38230.33,1352290.0,1645401600.0,-0.0365775661820244,39192.872,41819.65214285714,41312.16142857143,39137.02521450825,40627.89147030499,40818.23157204326,1.4803119779048188,23.90269803615972,46.749980616718105,-412.493407425638,147.52365953786557,-753.0173521043907,114.90352804427724,-441.0529219407035,48.17159312501873,41443.04,43918.068291617165,38968.01170838284,41443.04,46393.09658323432,36492.98341676568,41443.04,48868.12487485148,34017.955125148525,2.8264520938367363,6.867064612571177,2.3075047112293925,5.709948108747684,7.921429317730682,23.418730191899147,2033.931760351637,2036.0020089802135,2052.1561859325884,-0.03657756618202442,-0.04314075292804987,-0.01585292342065812,-0.03208831455150051,-0.035916689265527824,2694.3499999999985,-1378.729999999996
2022-02-23,38230.33,39249.93,37036.79,37250.01,1212527.0,1645488000.0,0.0324907507662171,38735.797999999995,41404.46214285714,41290.05380952381,38834.79347633883,40308.21660759766,40582.9677927666,26.86483761441697,29.399886024700308,49.0095364068867,-563.3570241728667,5.347522795719129,-863.8720156730196,-80.85158069918215,-596.1731855918115,-68.98200300531406,41509.7385,43871.158328981764,39148.318671018234,41509.7385,46232.57815796352,36786.89884203648,41509.7385,48593.99798694528,34425.47901305472,40.78913117044268,16.507442625107803,19.853552951113944,9.035955844401277,20.69094138543519,16.979695608261085,2042.9454082813095,2039.0732940530554,2053.4344627929413,0.032490750766217165,-0.03657756618202442,-0.027345240800790906,-0.012303641195356842,0.03302433841617636,2079.0,1222.1699999999983
2022-02-24,37250.02,39843.0,34322.28,38327.21,1030872.0,1645574400.0,-0.0259769663535837,38190.912,40895.69714285714,41306.89428571429,38306.53231755923,39900.45572658464,40279.97162978782,24.67168566610198,25.869796617771883,50.781768447989016,-753.3371566765636,-146.38941309873744,-1028.1065481236,-270.30257418406575,-791.8599114172102,-200.41434998929518,41506.658500000005,43873.875195978384,39139.441804021626,41506.658500000005,46241.091891956756,36772.225108043254,41506.658500000005,48608.30858793513,34405.00841206488,21.981916411028013,21.865833225102474,9.502798014993157,10.554618559112166,10.448333507470505,13.020234736878797,2076.9843266250473,2051.506630192123,2061.03948837423,-0.025976966353583753,0.032490750766217165,0.021137277886641704,0.018717538976034974,-0.025642467642837508,2213.1399999999994,-980.3199999999997
