date,cpc_embedding_0,cpc_embedding_1,cpc_embedding_2,cpc_embedding_3,cpc_embedding_4,cpc_embedding_5,cpc_embedding_6,cpc_embedding_7,cpc_embedding_8,cpc_embedding_9,cpc_embedding_10,cpc_embedding_11,cpc_embedding_12,cpc_embedding_13,cpc_embedding_14,cpc_embedding_15
2023-01-23,-0.99898523,-0.67474085,0.9952489,0.1111151,0.9993089,0.33774385,0.9999979,0.93234134,0.77183354,-0.7527628,-0.9773791,-0.5302495,-0.9994465,0.9868158,-0.24730006,0.45694375
2023-01-24,-0.9991954,-0.6019313,0.9517902,0.087337404,0.99960124,0.78144646,0.9999989,0.8597849,0.37808472,-0.76939577,-0.9818414,0.4245964,-0.9994192,0.9710365,-0.055476144,0.6517138
2023-01-25,-0.9962323,-0.4019633,0.7545243,0.16866568,0.9992195,0.7803294,0.9999996,0.7988608,-0.5784715,-0.68203413,-0.9631645,0.59310734,-0.99945325,0.97151804,-0.121564366,0.6833526
2023-01-26,-0.98797995,-0.33627045,0.78957754,0.31753865,0.99924976,0.6977715,0.999998,0.73234487,-0.59819996,-0.40754595,-0.90313876,0.5846486,-0.9995794,0.95854104,-0.24854311,0.60322374
2023-01-27,-0.974096,-0.4047455,0.8830665,0.41727373,0.99784416,0.5003882,0.9999917,0.7908892,-0.4557016,-0.2364458,-0.86725736,0.33712396,-0.999643,0.93653065,-0.3484903,0.34645277
2023-01-28,-0.9520942,-0.5600063,0.9417232,0.3782556,0.989519,-0.060331635,0.9999744,0.8950406,-0.32733077,-0.17591718,-0.8261149,-0.07387556,-0.99962616,0.9190699,-0.40236354,0.18587567
2023-01-29,-0.947964,-0.7174757,0.9590347,0.1948626,0.97182256,-0.40719044,0.99988675,0.95171213,0.049069434,-0.13398169,-0.77560043,-0.094090946,-0.9993295,0.87386155,-0.38714072,0.09482973
2023-01-30,-0.95676714,-0.80573016,0.9437286,0.006409824,0.93598694,-0.5064738,0.99986064,0.9759815,0.033270966,-0.17947105,-0.7579874,0.102475464,-0.9987818,0.84452844,-0.3115492,0.12961845
2023-01-31,-0.9614419,-0.86654603,0.9045438,-0.111821085,0.94315016,-0.3772823,0.9997619,0.9843799,0.16686642,-0.083329245,-0.73474497,0.4898227,-0.9983722,0.71783125,-0.19968538,0.069872506
2023-02-01,-0.9477365,-0.9070476,0.854949,-0.2109279,0.91712636,-0.4478629,0.999693,0.9895282,0.13702667,-0.053996265,-0.68626237,0.57740694,-0.9978686,0.5611274,-0.09853638,-0.11558217
2023-02-02,-0.932973,-0.9317403,0.6768037,-0.2878432,0.9015656,-0.4034113,0.9995305,0.9900559,0.07207565,0.15282127,-0.5891917,0.79131633,-0.99751806,0.307886,-0.039809093,-0.19649138
2023-02-03,-0.86267596,-0.9498989,0.5931709,-0.3644023,0.7816313,-0.6132826,0.99965346,0.9938293,-0.22149162,0.17454538,-0.4325737,0.6910672,-0.99707586,0.3912094,-0.047486562,-0.28308725
2023-02-04,-0.8613216,-0.97054744,0.53315854,-0.42101938,0.8663283,-0.5305985,0.9985008,0.9939278,0.33070073,0.36219797,-0.23614694,0.87538683,-0.99609345,-0.021757167,-0.036823742,-0.51748335
2023-02-05,-0.8332816,-0.9790305,0.04310544,-0.48136753,0.75288415,-0.5921517,0.99894273,0.99493617,-0.010009535,0.46163175,-0.14176837,0.9186427,-0.9952231,-0.20264933,-0.012273603,-0.55438596
2023-02-06,-0.51029027,-0.98183936,-0.22016785,-0.53737485,0.53683484,-0.73937017,0.99875957,0.9964798,-0.49695727,0.65316224,0.2643522,0.87366045,-0.994711,0.01223469,-0.13709465,-0.3703271
2023-02-07,-0.13868454,-0.9909693,0.08749934,-0.6051863,0.40689215,-0.89313906,0.99454516,0.99848723,-0.46507317,0.8130912,0.5961807,0.84513706,-0.9930631,0.10314205,-0.19795592,-0.34872997
2023-02-08,-0.021453222,-0.9962554,0.2562903,-0.68200475,0.08283925,-0.96496654,0.98941773,0.9995098,-0.47270507,0.8607293,0.7305942,0.83950067,-0.9882829,0.06425348,-0.14628729,-0.4850514
2023-02-09,0.081723675,-0.99855053,0.28904283,-0.7572809,-0.2125761,-0.9864194,0.9857601,0.9998532,-0.44880116,0.8730566,0.80597657,0.8167666,-0.97895074,-0.04143924,-0.022624671,-0.5661599
2023-02-10,0.14374131,-0.99940467,0.28662336,-0.82248247,-0.40287718,-0.99306273,0.97953296,0.9999533,-0.37017533,0.86465406,0.85575277,0.7709578,-0.9604435,-0.114209406,0.13435689,-0.6097026
2023-02-11,0.2265545,-0.99962944,0.21565498,-0.8743004,-0.5635378,-0.995733,0.9778998,0.9999821,-0.54771435,0.8618576,0.8914625,0.6844807,-0.937782,-0.010770255,0.27592933,-0.49160102
2023-02-12,0.42001906,-0.99969476,0.55103886,-0.9164996,-0.7174467,-0.99841756,0.98846024,0.9999946,-0.7632154,0.8041013,0.9181877,0.06956944,-0.90841174,0.5465267,0.37341863,-0.17222628
2023-02-13,0.09216514,-0.9998745,0.9056612,-0.9482717,-0.72196835,-0.9994862,0.978706,0.99999845,-0.31278288,0.72249734,0.927603,-0.34718126,-0.7793572,0.6372422,0.5023649,-0.16627203
2023-02-14,-0.5293761,-0.9999402,0.94602805,-0.96616375,-0.45543545,-0.999398,0.97648007,0.9999993,0.61547357,0.25502983,0.9032711,-0.390313,-0.46691635,0.5500023,0.63057524,-0.3992464
2023-02-15,-0.8455868,-0.99992406,0.8825399,-0.974863,-0.09677945,-0.99696213,0.989025,0.99999887,0.736064,-0.3728752,0.74877906,-0.13375,-0.20183939,0.47267732,0.7355101,-0.18189162
2023-02-16,-0.94545275,-0.99950075,0.73533565,-0.9779114,0.4625606,-0.9359387,0.99454814,0.99998707,0.66022867,-0.6743651,0.2828494,0.30069613,-0.22110796,0.6181665,0.81463593,0.31349447
2023-02-17,-0.98983604,-0.99433166,0.35486498,-0.95328313,0.9226991,0.28944674,0.997858,0.9989748,0.68822706,-0.68546444,-0.5304704,0.9039832,-0.41545916,0.5377163,0.84885573,0.45142886
2023-02-18,-0.99427694,-0.9493187,-0.31017983,-0.8538134,0.99047244,0.8534221,0.99970967,0.9471074,0.5170043,-0.65024227,-0.8560036,0.95844847,-0.56577253,0.25800306,0.7816979,0.21887663
2023-02-19,-0.99163425,-0.7457701,-0.7620161,-0.69654906,0.99782735,0.9275221,0.99996513,0.53334516,-0.08304016,-0.42703632,-0.85161084,0.9743108,-0.6632148,0.31525934,0.52971995,0.32429266
2023-02-20,-0.962144,-0.39979464,-0.71110964,-0.45113778,0.9971908,0.8289195,0.99999106,0.4331071,-0.69118375,-0.1052234,-0.6622734,0.91393626,-0.740621,0.74678946,-0.004056871,0.46083957
2023-02-21,-0.92689025,-0.3996057,-0.3781864,-0.18993324,0.99843144,0.80823654,0.9999314,0.29001173,-0.33217835,0.34314752,-0.41825315,0.93505687,-0.85345256,0.58893764,-0.33761752,0.020456119
2023-02-22,-0.80664533,-0.43179563,-0.27966926,0.008675158,0.98936415,0.39990255,0.99994844,0.55994093,-0.6492681,0.561569,-0.33980346,0.89503837,-0.9020922,0.53587234,-0.5952099,-0.19681703
2023-02-23,-0.5892034,-0.6874485,0.1453509,0.118065715,0.96897864,0.007390268,0.9996017,0.77890337,-0.41933325,0.7298561,-0.08196576,0.8723952,-0.9419043,0.2834865,-0.68070453,-0.4424752
2023-02-24,-0.41465658,-0.87637997,0.43169636,0.004583955,0.8339904,-0.67009205,0.9979219,0.93541855,-0.061003704,0.73653007,0.109937936,0.8363445,-0.96306306,-0.082543455,-0.6479016,-0.7264056
2023-02-25,-0.24787791,-0.95393497,0.4902407,-0.21434873,0.09349418,-0.9542599,0.99718136,0.982671,-0.17903829,0.74630934,0.2975738,0.7460692,-0.9700109,-0.13685049,-0.501757,-0.784553
2023-02-26,-0.055403963,-0.98768145,0.7242301,-0.44491374,-0.4115166,-0.99424535,0.9895948,0.9957308,0.15722415,0.7520736,0.4853572,0.47764647,-0.95159733,-0.23878399,-0.21540254,-0.8132214
2023-02-27,-0.17831033,-0.9969628,0.7244353,-0.6177945,-0.6795155,-0.99878675,0.9856958,0.9989958,0.32520732,0.66219777,0.5972681,0.2780972,-0.839044,-0.33102578,0.13498864,-0.8510133
2023-02-28,-0.3697623,-0.9992528,0.58381116,-0.73963964,-0.7191328,-0.9991812,0.98458475,0.999778,0.47599807,0.53148484,0.6776107,0.29382786,-0.64316,-0.4138554,0.40599117,-0.8436189
2023-03-01,-0.54147995,-0.9997859,0.211664,-0.81600326,-0.5786115,-0.99837065,0.97307366,0.9999514,0.65853375,0.38709143,0.7382209,0.548376,-0.44440776,-0.5783777,0.5949304,-0.8411035
2023-03-02,-0.6157724,-0.9998345,-0.5844635,-0.86036265,-0.38065982,-0.99001276,0.97936475,0.99998224,0.30069596,0.44369236,0.77690107,0.849627,-0.4312441,-0.6456006,0.71571666,-0.7396749
2023-03-03,-0.35636353,-0.9993455,-0.86229575,-0.88743854,-0.1435845,-0.95530677,0.9884106,0.9999548,-0.40346783,0.6514674,0.85456514,0.92860407,-0.5458777,-0.45773652,0.68278486,-0.45772776
2023-03-04,-0.060525045,-0.99908423,-0.8157031,-0.9003116,0.07902642,-0.9530974,0.98136556,0.99990594,-0.56244403,0.8427346,0.9183599,0.9503473,-0.7080054,-0.2588582,0.5312283,-0.34245533
2023-03-05,0.20398282,-0.99929404,-0.6956925,-0.91216576,0.038778216,-0.97698176,0.9687252,0.9999301,-0.62042767,0.90807486,0.9505376,0.93381226,-0.8220291,-0.1685259,0.3282023,-0.4103095
2023-03-06,0.55816704,-0.9995658,-0.39954856,-0.9308899,-0.33456936,-0.99587554,0.9810254,0.99998,-0.82292444,0.9253676,0.9676008,0.74804646,-0.8738574,0.18171185,0.15516698,-0.36161307
2023-03-07,0.60264975,-0.9998606,0.25576183,-0.9508826,-0.5585251,-0.999154,0.9599616,0.9999949,-0.69682413,0.93931085,0.9751887,0.5460721,-0.8816381,0.10744153,0.18844502,-0.49202606
2023-03-08,0.40263733,-0.99994355,0.24236928,-0.9654868,-0.6513637,-0.99940497,0.9305873,0.9999981,-0.20454438,0.925096,0.97583205,0.6882914,-0.84401727,-0.30309093,0.32709992,-0.7729237
2023-03-09,0.3007308,-0.9999404,-0.1922841,-0.9752047,-0.7465137,-0.9990944,0.96588445,0.9999984,-0.50272983,0.9016942,0.97248703,0.7372056,-0.80410564,-0.3617494,0.467805,-0.7358667
2023-03-10,0.50354004,-0.999877,-0.1091643,-0.9825678,-0.7930237,-0.99891865,0.9755457,0.9999982,-0.7532179,0.8892846,0.97688925,0.48408085,-0.8036109,0.13583799,0.49995086,-0.39114064
2023-03-11,0.53438336,-0.999904,0.6804877,-0.9885175,-0.8309949,-0.9996231,0.9755663,0.9999993,-0.7443375,0.8388798,0.979786,-0.27284974,-0.7500086,0.6356834,0.5389547,-0.061997138
