date,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,embedding_8,embedding_9,embedding_10,embedding_11,embedding_12,embedding_13,embedding_14,embedding_15,embedding_16,embedding_17,embedding_18,embedding_19,embedding_20,embedding_21,embedding_22,embedding_23,embedding_24,embedding_25,embedding_26,embedding_27,embedding_28,embedding_29,embedding_30,embedding_31,embedding_32,embedding_33,embedding_34,embedding_35,embedding_36,embedding_37,embedding_38,embedding_39,embedding_40,embedding_41,embedding_42,embedding_43,embedding_44,embedding_45,embedding_46,embedding_47,embedding_48,embedding_49,embedding_50,embedding_51,embedding_52,embedding_53,embedding_54,embedding_55,embedding_56,embedding_57,embedding_58,embedding_59,embedding_60,embedding_61,embedding_62,embedding_63
2024-09-18,-0.12895733,-0.2561867,0.008805677,-0.4003395,-0.13199712,0.05665517,-0.20857942,0.15339683,-0.07848129,-0.82041335,0.44866973,-0.022859544,0.20152229,0.8410889,-0.05309123,0.26995596,-0.12525618,-0.28803125,0.06140895,-0.05367819,-0.25197488,-0.09147246,0.29335847,0.73511624,0.014239244,-0.045284763,0.16596639,-0.19014111,0.144707,0.49414632,-0.13779046,0.1346124,0.2719694,0.105010934,-0.025249071,-0.1620812,0.13131122,-0.25471056,-0.18248948,-0.939138,-0.65369016,0.7270692,0.158759,-0.23163147,0.2847287,-0.3126808,0.20133308,-0.3549819,-0.2815946,0.26199946,0.20615163,0.13212508,-0.63811326,0.70433474,0.58528656,-0.13342413,-0.069426075,-0.19428478,-0.27703378,-0.072805196,-0.13669589,0.43512693,-0.04802631,-0.6038773
2024-09-19,-0.13212487,-0.26282284,0.0050165206,-0.40324754,-0.12817167,0.056917094,-0.20876081,0.14346175,-0.07985489,-0.82723415,0.44988084,-0.030579567,0.20442653,0.8352269,-0.046592403,0.27403426,-0.12910551,-0.29300532,0.05845287,-0.059123673,-0.24553101,-0.09260698,0.29513022,0.7365771,0.0034786388,-0.041730285,0.16622815,-0.18896493,0.14179176,0.49494848,-0.13932659,0.14129984,0.26712185,0.11470432,-0.028932072,-0.16195145,0.13232891,-0.26010498,-0.17661925,-0.93543226,-0.65721995,0.72188455,0.15684429,-0.23143835,0.27977467,-0.31333816,0.20725444,-0.354818,-0.28782192,0.25457445,0.21497737,0.12954703,-0.6417791,0.70308226,0.5918644,-0.14850503,-0.07016492,-0.19305654,-0.27215892,-0.069160126,-0.13301578,0.42768422,-0.051601484,-0.60407424
2024-09-20,-0.13636553,-0.27044964,-0.0013520271,-0.40617752,-0.12277809,0.05572863,-0.20823123,0.13068804,-0.08076582,-0.8337224,0.45047712,-0.038859814,0.20898724,0.825964,-0.04061817,0.27809295,-0.13404825,-0.29825562,0.05302627,-0.06667915,-0.23713198,-0.09456797,0.29536512,0.73546976,-0.009938456,-0.035675712,0.16674982,-0.18845001,0.13702813,0.4951733,-0.1404008,0.15069175,0.26210183,0.12494405,-0.032832243,-0.16153772,0.13380101,-0.2650997,-0.1682811,-0.92959106,-0.65798175,0.71341777,0.15607323,-0.23156242,0.2730922,-0.31312472,0.21447194,-0.3524676,-0.29463926,0.24483606,0.22371872,0.12605745,-0.64540064,0.6997926,0.5992792,-0.1631922,-0.0707946,-0.1899375,-0.26719934,-0.0646397,-0.1278326,0.41760072,-0.057707615,-0.60113835
2024-09-21,-0.14192118,-0.27814624,-0.009787992,-0.40867063,-0.11423825,0.053167783,-0.20737745,0.115172,-0.08080128,-0.83825105,0.45025253,-0.04761441,0.21406668,0.8135987,-0.03595637,0.28151643,-0.13831162,-0.30473343,0.047031324,-0.07488394,-0.22833523,-0.096893266,0.2928661,0.7310457,-0.024335451,-0.029772991,0.16631699,-0.18954071,0.1321125,0.49513882,-0.14123952,0.16136536,0.25838575,0.13648033,-0.03667111,-0.16098465,0.13720138,-0.26936248,-0.15833703,-0.922355,-0.6572434,0.70115024,0.15646344,-0.2306232,0.2669158,-0.3133536,0.22283512,-0.3482737,-0.30045563,0.23547688,0.23272897,0.12280974,-0.6483125,0.6940565,0.6049536,-0.17690426,-0.071716025,-0.18662314,-0.2617687,-0.058149785,-0.12217244,0.40660208,-0.0642489,-0.5964229
2024-09-22,-0.14441463,-0.27725822,-0.015502885,-0.40044183,-0.10666479,0.044991083,-0.20741424,0.107329085,-0.074448496,-0.8218848,0.45032862,-0.044900768,0.2099567,0.800842,-0.04994135,0.28067484,-0.13752061,-0.31000394,0.04542498,-0.07548289,-0.22684169,-0.09684904,0.28474152,0.7144017,-0.020956337,-0.03433229,0.16158879,-0.20119521,0.13723513,0.48797834,-0.14027758,0.16256528,0.26291147,0.13959104,-0.02701474,-0.16353989,0.14577366,-0.26671618,-0.15441822,-0.9148123,-0.6485649,0.6852059,0.16387074,-0.23118754,0.27181336,-0.31550664,0.22394186,-0.33172905,-0.28730017,0.23386103,0.23086475,0.12607166,-0.64352316,0.6788816,0.59955704,-0.16395241,-0.07346967,-0.18870714,-0.25667852,-0.050786845,-0.12052571,0.40306655,-0.067944594,-0.585057
2024-09-23,-0.14667979,-0.27465525,-0.019059613,-0.39315864,-0.09667126,0.037061043,-0.20818475,0.09917858,-0.068209134,-0.8072012,0.4504899,-0.044001818,0.20317093,0.79221046,-0.062456254,0.27883682,-0.13354085,-0.31537473,0.04947238,-0.07402587,-0.22834124,-0.09335686,0.27585807,0.70123726,-0.016481616,-0.04247258,0.15527049,-0.2124255,0.14476544,0.48387954,-0.1421476,0.1604681,0.26812023,0.14687699,-0.019926585,-0.16615279,0.15663785,-0.2659783,-0.1515987,-0.91060764,-0.64469236,0.6704852,0.16834326,-0.2298245,0.2793359,-0.31950346,0.22541249,-0.3185534,-0.27589744,0.23575348,0.23167215,0.12897913,-0.6402117,0.6662406,0.591226,-0.15619874,-0.0754756,-0.19509543,-0.25101215,-0.0425807,-0.12037025,0.402849,-0.066737644,-0.5789422
2024-09-24,-0.1486278,-0.2758806,-0.023849428,-0.39145204,-0.08568848,0.033931635,-0.20852669,0.087295145,-0.064878166,-0.80361056,0.45026585,-0.0499492,0.19952539,0.78511786,-0.06376201,0.27810457,-0.13217671,-0.32148293,0.05304419,-0.075071186,-0.2267022,-0.09134407,0.27034009,0.69579315,-0.020470433,-0.047398925,0.15165684,-0.21856931,0.14815846,0.48320884,-0.145646,0.16178432,0.2677178,0.16003117,-0.020351179,-0.1670684,0.16487604,-0.26943654,-0.14648768,-0.9080502,-0.6462491,0.65843916,0.16762558,-0.22580497,0.28136185,-0.3244996,0.2300925,-0.31318748,-0.27518,0.23495302,0.23884095,0.13012472,-0.64041674,0.65968955,0.58750767,-0.1628626,-0.077072196,-0.19994797,-0.24526693,-0.03453835,-0.11793887,0.39894488,-0.06658699,-0.57863
2024-09-25,-0.15101497,-0.27801365,-0.029942572,-0.38975906,-0.07613824,0.030941166,-0.20836253,0.074879855,-0.061853673,-0.8012356,0.4502958,-0.05677875,0.19709623,0.77640927,-0.064026326,0.2786531,-0.13440996,-0.32654625,0.05352893,-0.078132756,-0.2218558,-0.09047629,0.26722693,0.69033396,-0.027311921,-0.049016044,0.15033324,-0.22385523,0.14917392,0.48062575,-0.14839567,0.16585314,0.26511282,0.1732578,-0.020119138,-0.1686771,0.17141035,-0.27315664,-0.13988307,-0.90353346,-0.64630103,0.6460607,0.1669091,-0.22379555,0.2804254,-0.32747206,0.23572391,-0.30596852,-0.27639583,0.22915423,0.24685363,0.13129559,-0.6405315,0.6522384,0.58835113,-0.1704736,-0.07784101,-0.20222919,-0.23845358,-0.027520357,-0.113435045,0.39252254,-0.070282154,-0.57492554
2024-09-26,-0.15247338,-0.2821068,-0.03617449,-0.3897122,-0.06481163,0.030761324,-0.20725097,0.062130153,-0.05922383,-0.80086106,0.44941998,-0.065011516,0.195649,0.76748186,-0.06053846,0.27835238,-0.13611381,-0.33294725,0.053752173,-0.080945805,-0.21795288,-0.09099059,0.26316336,0.6865922,-0.03569316,-0.05139538,0.14924625,-0.22898002,0.14964792,0.47871077,-0.15102346,0.1701178,0.2619926,0.187554,-0.022304185,-0.16896473,0.17741895,-0.2768471,-0.13314119,-0.9012383,-0.64623994,0.63325447,0.16489981,-0.21891098,0.27905777,-0.33312976,0.24128091,-0.3019659,-0.2804334,0.22532526,0.25542706,0.13263112,-0.6410487,0.64705735,0.5886657,-0.17850284,-0.079282284,-0.20514376,-0.23333956,-0.019422134,-0.10922896,0.38480613,-0.07457786,-0.5738144
2024-09-27,-0.15256654,-0.28629535,-0.041139305,-0.39214537,-0.05713582,0.032017447,-0.20601718,0.051917203,-0.058377393,-0.80612445,0.45043218,-0.073738545,0.19553518,0.76189315,-0.05322847,0.28049326,-0.14086202,-0.33679986,0.05261856,-0.084573865,-0.21110575,-0.09206839,0.26308152,0.6873299,-0.045697875,-0.04901255,0.15246192,-0.23106733,0.14795119,0.47717795,-0.15483522,0.17552677,0.25694412,0.200407,-0.028280653,-0.16903086,0.17861518,-0.28169817,-0.12566014,-0.9008657,-0.64754874,0.62587017,0.16113572,-0.21754761,0.2750101,-0.33686972,0.24628133,-0.30023116,-0.28898528,0.2187221,0.26431647,0.13145623,-0.6435535,0.64615995,0.5950784,-0.18978603,-0.07941945,-0.20533173,-0.22982165,-0.015982604,-0.10468734,0.3753528,-0.08188426,-0.5734402
