date,trans_embedding_0,trans_embedding_1,trans_embedding_2,trans_embedding_3,trans_embedding_4,trans_embedding_5,trans_embedding_6,trans_embedding_7,trans_embedding_8,trans_embedding_9,trans_embedding_10,trans_embedding_11,trans_embedding_12,trans_embedding_13,trans_embedding_14,trans_embedding_15,trans_embedding_16,trans_embedding_17,trans_embedding_18,trans_embedding_19,trans_embedding_20,trans_embedding_21,trans_embedding_22,trans_embedding_23,trans_embedding_24,trans_embedding_25,trans_embedding_26,trans_embedding_27,trans_embedding_28,trans_embedding_29,trans_embedding_30,trans_embedding_31,trans_embedding_32,trans_embedding_33,trans_embedding_34,trans_embedding_35,trans_embedding_36,trans_embedding_37,trans_embedding_38,trans_embedding_39,trans_embedding_40,trans_embedding_41,trans_embedding_42,trans_embedding_43,trans_embedding_44,trans_embedding_45,trans_embedding_46,trans_embedding_47,trans_embedding_48,trans_embedding_49,trans_embedding_50,trans_embedding_51,trans_embedding_52,trans_embedding_53,trans_embedding_54,trans_embedding_55,trans_embedding_56,trans_embedding_57,trans_embedding_58,trans_embedding_59,trans_embedding_60,trans_embedding_61,trans_embedding_62,trans_embedding_63
2024-07-18,1.2892,-0.87190366,-1.2446774,-1.016456,0.22314335,0.49687386,-0.26305684,0.8719087,-1.6783867,-0.24766405,-0.6559466,1.9554371,0.25419778,1.0008432,0.7273951,-0.5475913,0.31633237,-0.31232318,-2.5690286,0.3686186,0.6054031,1.0148023,0.035600033,-0.86797065,-1.7159202,-0.289082,-0.4431836,1.4686772,0.9723615,-0.53643924,-1.0521197,0.02717088,0.2820256,0.9957008,0.804225,1.1511865,-0.68114305,1.5520139,1.0545577,0.08764419,0.82080555,0.52417046,-0.4194423,-0.04866213,-1.2631867,0.7986805,-0.05282071,-0.9860169,1.9321289,-1.354021,-0.4925873,-1.0743535,-0.5984108,-1.563153,0.04005207,-0.26988348,-0.17638128,-0.6376961,0.96029687,1.9532697,0.6051461,-1.2614948,-0.76163644,0.7602835
2024-07-19,1.2834513,-0.8744309,-1.2433568,-1.0108892,0.21775787,0.49103424,-0.2621597,0.87029606,-1.6861035,-0.23720065,-0.6563848,1.9409423,0.2468604,0.9974625,0.74278206,-0.5399884,0.31113335,-0.31687805,-2.5672157,0.3661481,0.6117891,1.0189102,0.03515657,-0.8753716,-1.7196866,-0.29045364,-0.45028913,1.4651586,0.9786659,-0.52971077,-1.0592797,0.034176484,0.28589648,1.0006912,0.79480064,1.152306,-0.67269975,1.5545595,1.0537705,0.084804535,0.82186735,0.5169823,-0.432415,-0.055903714,-1.2702869,0.8050733,-0.05030086,-0.9809377,1.9431536,-1.3655154,-0.48475483,-1.0628908,-0.6017872,-1.5632716,0.045275975,-0.25601876,-0.16703074,-0.63517284,0.9514788,1.9507275,0.6106102,-1.2572477,-0.7752358,0.76463723
2024-07-20,1.2820151,-0.8831768,-1.2494099,-1.0165683,0.2026234,0.5070478,-0.2588516,0.87821835,-1.6801236,-0.24310595,-0.6641418,1.9212596,0.23974854,0.9961258,0.7466703,-0.5333265,0.32005185,-0.32398376,-2.5686738,0.37426656,0.62592816,1.0359416,0.03241332,-0.8883223,-1.7361797,-0.29507425,-0.45586213,1.462897,0.9951607,-0.5219228,-1.0705894,0.036073044,0.28200027,0.9930313,0.7982456,1.1462888,-0.6665396,1.5555205,1.0470364,0.09188721,0.8289257,0.52310205,-0.42429855,-0.059365798,-1.277287,0.8121946,-0.033209052,-0.98142475,1.9396046,-1.363663,-0.48797247,-1.0647856,-0.60225224,-1.5773612,0.05053346,-0.25947794,-0.16499719,-0.6422002,0.95048064,1.9475824,0.6131884,-1.2473837,-0.7658337,0.76877487
2024-07-21,1.3114651,-0.8963512,-1.2347144,-1.0183003,0.18554716,0.53088564,-0.27596828,0.904581,-1.6748191,-0.25397426,-0.6749035,1.913132,0.22468431,0.96456856,0.7596251,-0.5485127,0.3236227,-0.3541258,-2.5839205,0.38179633,0.64501494,1.0862069,0.04785932,-0.8984424,-1.728216,-0.28228447,-0.45176634,1.4434994,1.0221003,-0.51723456,-1.0641397,0.03532714,0.3016654,0.9687129,0.7912167,1.1511782,-0.63558835,1.5239952,1.0462871,0.09775503,0.8412113,0.50560015,-0.43984187,-0.052237082,-1.2788625,0.81795704,-0.03940957,-1.0102022,1.9304994,-1.3318981,-0.47176707,-1.0678064,-0.60889953,-1.5529612,0.03958381,-0.26461622,-0.16161999,-0.6741711,0.94788015,1.9482834,0.6099004,-1.2567768,-0.75924486,0.75945
2024-07-22,1.3344678,-0.8985079,-1.22377,-1.0097008,0.18034692,0.5376066,-0.2946336,0.9235963,-1.6640342,-0.25750628,-0.6804664,1.923713,0.21939157,0.9372257,0.7649699,-0.56577545,0.31514397,-0.36331907,-2.5900512,0.38651016,0.6433039,1.0988657,0.060121648,-0.8998539,-1.7207723,-0.2708357,-0.44383207,1.4325678,1.0285729,-0.53077877,-1.0534781,0.04299655,0.32071155,0.951063,0.78034943,1.1575114,-0.625314,1.5029252,1.0573852,0.10001549,0.8442119,0.49937952,-0.4578686,-0.04851269,-1.2766927,0.8172475,-0.052838974,-1.0350171,1.9360614,-1.3131651,-0.4583851,-1.0755533,-0.6162871,-1.5299472,0.03695685,-0.25654215,-0.1633598,-0.6915405,0.9401693,1.9536299,0.6049792,-1.2633878,-0.7573535,0.75465035
2024-07-23,1.336417,-0.8942273,-1.2289104,-0.9976968,0.19223478,0.5304451,-0.29289776,0.9213574,-1.6673207,-0.25476846,-0.6787955,1.9334753,0.22157836,0.94416636,0.76482964,-0.57120633,0.30820912,-0.353109,-2.5903783,0.38328877,0.62701017,1.0826069,0.05883855,-0.8934501,-1.7149029,-0.26468885,-0.44425473,1.4337227,1.0232446,-0.5369854,-1.0507373,0.050222065,0.32626918,0.95237744,0.77256083,1.1607162,-0.6301773,1.5043867,1.0608761,0.10666582,0.84307045,0.5003281,-0.4626588,-0.05044117,-1.280199,0.80634373,-0.064464174,-1.0372485,1.9427115,-1.3182641,-0.45384654,-1.0763234,-0.6199774,-1.5313326,0.039827347,-0.24763279,-0.16602272,-0.6859293,0.9352726,1.9606708,0.60217476,-1.2664144,-0.76346844,0.7604051
2024-07-24,1.3123387,-0.8837287,-1.24339,-0.99441504,0.20454763,0.5131592,-0.28388137,0.90426356,-1.675659,-0.24947397,-0.67981595,1.927756,0.22449341,0.98436904,0.76708186,-0.5587531,0.31247038,-0.33848828,-2.5859396,0.374966,0.6233526,1.058306,0.053132128,-0.8826431,-1.7099992,-0.2767723,-0.45627502,1.4490659,1.0202587,-0.52631956,-1.0602599,0.059375584,0.30871683,0.97210985,0.782481,1.1628131,-0.63989246,1.5147492,1.0544356,0.108492695,0.8369131,0.5076858,-0.44834954,-0.058730047,-1.2948927,0.78930825,-0.06886293,-1.0060266,1.945108,-1.3366287,-0.45737877,-1.0685478,-0.6200601,-1.5474516,0.04655965,-0.24080208,-0.1671074,-0.6681238,0.9303823,1.9588822,0.6032754,-1.2708632,-0.7708666,0.75708747
2024-07-25,1.2909012,-0.8780688,-1.2645946,-0.9833479,0.21242355,0.4797002,-0.2839355,0.9021661,-1.6870705,-0.2307959,-0.6888862,1.9276459,0.22727813,1.0142434,0.7642391,-0.55388105,0.31424078,-0.3260611,-2.5862005,0.35381916,0.62968445,1.0346977,0.047753826,-0.86199224,-1.7114946,-0.30032265,-0.45954642,1.4581777,1.0130792,-0.52287763,-1.0645041,0.06909682,0.29786783,0.9913972,0.8004829,1.1750443,-0.6544665,1.5351366,1.0585053,0.088209525,0.8394378,0.5120584,-0.42896208,-0.06896647,-1.2994347,0.7797077,-0.0783083,-0.9694391,1.9538978,-1.3519436,-0.45932418,-1.0456415,-0.62416065,-1.5556468,0.05786031,-0.24174897,-0.16153808,-0.6502537,0.9220975,1.9465007,0.59217495,-1.274797,-0.77478516,0.7509703
2024-07-26,1.2835824,-0.8784221,-1.276169,-0.9599359,0.21867879,0.45438105,-0.29931083,0.9078772,-1.6991427,-0.20455004,-0.6926704,1.9305593,0.22273411,1.0142974,0.764106,-0.56297874,0.30937493,-0.3239633,-2.5931406,0.3367625,0.6340682,1.022894,0.038085766,-0.8438963,-1.7180725,-0.30893353,-0.45681557,1.4533036,1.0011739,-0.52427894,-1.0599625,0.06676235,0.30726415,0.9980639,0.80340016,1.1813571,-0.6632594,1.5497099,1.0781424,0.067362875,0.84461707,0.5113158,-0.4197939,-0.075821765,-1.2919976,0.7827389,-0.0905035,-0.95134753,1.9612278,-1.359206,-0.45293668,-1.029684,-0.6283683,-1.5580748,0.06808913,-0.23480341,-0.15085138,-0.6529923,0.9212049,1.9413604,0.57817805,-1.2697296,-0.7692505,0.74566305
2024-07-27,1.2755748,-0.87087387,-1.2703651,-0.943184,0.22322349,0.4449009,-0.3231882,0.91322124,-1.6961398,-0.19308305,-0.6811219,1.9269019,0.21089032,0.99641365,0.7664148,-0.57957006,0.31018916,-0.32874897,-2.5920317,0.33467743,0.64324284,1.017105,0.032120813,-0.83868194,-1.7268046,-0.30422142,-0.4537193,1.4483597,0.9944448,-0.5261238,-1.0536879,0.05259478,0.31845227,1.0005816,0.79129547,1.1759915,-0.66191214,1.5494069,1.1013695,0.06502736,0.8358748,0.51849085,-0.42384994,-0.08190017,-1.2877214,0.79645914,-0.1045728,-0.9447219,1.9616761,-1.360905,-0.44965276,-1.0385548,-0.6284877,-1.5537928,0.07649317,-0.21540985,-0.14352602,-0.67240846,0.9328702,1.9448073,0.5747215,-1.2623528,-0.7519687,0.72696865
